芠代丁,代溃,キ溃,放,臩翴放,癸访,硉,,程皚,程皚,秖,计,ら酚计,ぱら甮秖,ǎ,档絬计,羆冻秖
2010-09-01-01,1000.6,1001.3,25.4,24.3,94,0.8,90,1.9,150,0,0,N/A,0,N/A,0,N/A
2010-09-01-02,1000.5,1001.2,25.1,23.9,93,1.7,110,3.5,120,0,0,N/A,0,10,0,7
2010-09-01-03,1000.3,1001,24.8,23.8,94,0.2,0,1.6,100,0,0,N/A,0,N/A,0,N/A
2010-09-01-04,1000,1000.7,24.8,23.9,95,0.9,130,2.2,170,0,0,N/A,0,N/A,0,N/A
2010-09-01-05,1000.2,1000.9,24.8,23.8,94,0.7,120,2.3,140,0,0,N/A,0,12,0,7
2010-09-01-06,1000.6,1001.3,24.9,24,95,1,30,1.5,30,0,0,0,0,N/A,0,N/A
2010-09-01-07,1000.5,1001.2,26.1,25,94,0.3,100,1.8,100,0,0,0.9,0.39,N/A,0,N/A
2010-09-01-08,1000.7,1001.4,28.9,27,90,1.1,90,2,70,0,0,1,1.1,18,1,3
2010-09-01-09,1000.1,1000.8,30.5,25.8,76,2.9,90,7.6,130,0,0,0.9,1.72,18,3,4
2010-09-01-10,999.2,999.9,30.7,24.9,71,3.6,80,7.7,80,0,0,0.3,1.22,N/A,4,7
2010-09-01-11,998.5,999.2,30.5,24.3,70,4.9,100,14.6,80,0,0,0,1.16,18,5,8
2010-09-01-12,998.2,998.9,30.4,24.7,72,5.1,110,11.1,90,0,0,0,0.85,N/A,4,8
2010-09-01-13,998.4,999.1,30.8,24.3,68,3,110,9.2,120,0,0,0,0.84,N/A,4,8
2010-09-01-14,998.9,999.6,30.5,24.1,69,3.6,110,9.4,90,0,0,0,0.6,15,3,9
2010-09-01-15,999.1,999.8,29.6,24,72,2.3,120,7,110,T,0.5,0,0.19,N/A,1,10
2010-09-01-16,1000.1,1000.8,28.3,24.5,80,0.7,100,6.2,100,T,1,0,0,N/A,0,10
2010-09-01-17,1000.3,1001,28.4,24.2,78,1,110,4.2,80,T,0.5,0,0,16,0,10
2010-09-01-18,1001.1,1001.8,28.2,24.2,79,0.7,50,2,100,0,0,0,0,N/A,0,N/A
2010-09-01-19,1001.5,1002.2,29.2,23.6,72,1,110,2.9,110,0,0,0,0,N/A,0,N/A
2010-09-01-20,1002.6,1003.3,28.3,23.8,77,0.3,150,2.6,140,0,0,N/A,0,15,0,10
2010-09-01-21,1003.1,1003.8,28.6,23.3,73,1.3,100,4.3,90,0,0,N/A,0,15,0,8
2010-09-01-22,1003.3,1004,28.2,23.5,76,1.9,110,4.4,60,0,0,N/A,0,N/A,0,N/A
2010-09-01-23,1003.8,1004.5,27.7,24,80,1.2,190,3.3,200,0,0,N/A,0,12,0,9
2010-09-01-24,1003.3,1004,27.5,24.3,83,1.1,200,1.8,170,0,0,N/A,0,N/A,0,N/A
2010-09-02-01,1003.4,1004.1,27.1,24.3,85,0.1,0,1.6,200,0,0,N/A,0,N/A,0,N/A
2010-09-02-02,1002.7,1003.4,27,24,84,0.9,150,2,130,0,0,N/A,0,10,0,7
2010-09-02-03,1003.1,1003.8,26.5,23.7,85,2,110,3.2,90,0,0,N/A,0,N/A,0,N/A
2010-09-02-04,1003.5,1004.2,27.6,23.5,78,3.2,80,6,80,0,0,N/A,0,N/A,0,N/A
2010-09-02-05,1003,1003.7,28.2,23.2,74,1.9,110,9.4,70,0,0,N/A,0,12,0,4
2010-09-02-06,1003.4,1004.1,27.4,23.4,79,2.2,70,4.3,100,0,0,0,0,N/A,0,N/A
2010-09-02-07,1004,1004.7,28.6,23.4,74,2.7,110,6.4,150,0,0,0.3,0.01,N/A,0,N/A
2010-09-02-08,1005.1,1005.8,30.3,24.7,72,3.7,110,11.3,70,0,0,0.8,0.93,15,1,8
2010-09-02-09,1005.3,1006,31.2,24.7,68,5.3,100,11.8,80,0,0,1,1.84,12,4,7
2010-09-02-10,1005.7,1006.4,31.6,24.5,66,4.8,100,10.7,100,0,0,1,2.33,N/A,6,6
2010-09-02-11,1005.7,1006.4,32.5,25,65,4.2,100,9.9,100,0,0,0.9,2.54,15,8,6
2010-09-02-12,1005.3,1006,32.8,24.3,61,5.4,100,10.1,80,0,0,0.9,2.53,N/A,9,5
2010-09-02-13,1004.9,1005.6,33.9,25,60,1.7,100,8.9,90,0,0,1,2.72,N/A,9,5
2010-09-02-14,1005.1,1005.8,32.5,25.9,68,1.4,300,8.5,300,0,0,0.2,1.04,15,4,8
2010-09-02-15,1005.6,1006.3,30.7,24.5,70,3.1,250,7.8,290,T,0.1,0,0.31,N/A,1,9
2010-09-02-16,1005.8,1006.5,30.1,25.2,75,2.1,140,6.6,270,T,0.4,0,0,N/A,0,8
2010-09-02-17,1006,1006.7,29.9,25.2,76,1,190,4.1,140,T,0.2,0.3,0.15,10,1,7
2010-09-02-18,1006.5,1007.2,30.1,23.2,67,2,100,4.8,100,0,0,0,0,N/A,0,N/A
2010-09-02-19,1007,1007.7,29.7,22.9,67,3.3,70,6.6,70,0,0,0,0,N/A,0,N/A
2010-09-02-20,1007.6,1008.3,29.4,22.9,68,4,80,8,90,0,0,N/A,0,10,0,5
2010-09-02-21,1008.6,1009.3,29.4,22.8,68,2.7,100,6.8,100,0,0,N/A,0,12,0,4
2010-09-02-22,1008.6,1009.3,29.3,22.7,68,2.3,110,6.8,90,0,0,N/A,0,N/A,0,N/A
2010-09-02-23,1008.4,1009.1,29.2,22.6,68,2.2,120,6.7,70,0,0,N/A,0,12,0,4
2010-09-02-24,1008.2,1008.9,29,22.6,68,3,100,6,110,0,0,N/A,0,N/A,0,N/A
2010-09-03-01,1007.8,1008.5,28.9,22.7,69,3.5,90,6.3,90,0,0,N/A,0,N/A,0,N/A
2010-09-03-02,1007,1007.7,28.8,22.4,68,3.1,110,7.8,110,0,0,N/A,0,10,0,2
2010-09-03-03,1006.8,1007.5,29,22.1,66,3.1,90,6.3,110,0,0,N/A,0,N/A,0,N/A
2010-09-03-04,1006.4,1007.1,28.6,21.8,67,2.9,110,7,60,0,0,N/A,0,N/A,0,N/A
2010-09-03-05,1006.4,1007.1,27,22.8,78,1.5,160,5.8,90,0,0,N/A,0,12,0,2
2010-09-03-06,1007.1,1007.8,27,23.2,80,1.1,220,2.6,140,0,0,0.2,0.08,N/A,0,N/A
2010-09-03-07,1007.1,1007.8,28.2,23.4,75,0.8,150,2.4,240,0,0,1,0.42,N/A,0,N/A
2010-09-03-08,1007.3,1008,30.9,22.9,62,5.3,100,12.8,90,0,0,1,1.16,22,1,2
2010-09-03-09,1007.6,1008.3,31.7,23.2,61,4.7,100,10.4,60,0,0,1,1.92,22,4,2
2010-09-03-10,1007.5,1008.2,32.2,23.2,59,5.2,110,12.1,80,0,0,1,2.39,N/A,6,2
2010-09-03-11,1006.7,1007.4,33,23.4,57,5.7,110,15.2,90,0,0,1,2.88,25,9,2
2010-09-03-12,1006.4,1007.1,33.8,23.4,55,4.9,110,15.2,70,0,0,1,2.98,N/A,10,2
2010-09-03-13,1005.4,1006.1,33.8,22.6,52,6.2,120,12.7,100,0,0,1,3,N/A,10,2
2010-09-03-14,1005.3,1006,33.3,22.6,54,6.8,100,13.6,100,0,0,1,2.47,25,8,1
2010-09-03-15,1005.1,1005.8,33.2,22.6,54,4.9,110,13.6,90,0,0,1,2.05,N/A,6,1
2010-09-03-16,1004.7,1005.4,32.5,22.2,55,5.1,100,14.8,100,0,0,1,1.45,N/A,3,2
2010-09-03-17,1005.1,1005.8,31.5,21.7,56,4,100,9.9,90,0,0,1,0.83,25,1,2
2010-09-03-18,1005.3,1006,30.5,21.5,59,3.9,110,11.1,90,0,0,0.8,0.13,N/A,0,N/A
2010-09-03-19,1005.9,1006.6,30.1,21.7,61,2.8,80,8.4,70,0,0,0,0,N/A,0,N/A
2010-09-03-20,1006.7,1007.4,29.8,21.6,61,4,90,7.2,90,0,0,N/A,0,20,0,6
2010-09-03-21,1007.4,1008.1,29.5,21.8,63,3,90,6.8,50,0,0,N/A,0,20,0,4
2010-09-03-22,1007.6,1008.3,29.1,21.9,65,3.5,70,6.3,60,0,0,N/A,0,N/A,0,N/A
2010-09-03-23,1007.8,1008.5,29.1,22.1,66,2.9,80,6.8,70,0,0,N/A,0,20,0,8
2010-09-03-24,1007.4,1008.1,28.8,22.1,67,2.6,70,5.6,80,0,0,N/A,0,N/A,0,N/A
2010-09-04-01,1006.8,1007.5,28.6,22,68,2.8,70,5.2,60,0,0,N/A,0,N/A,0,N/A
2010-09-04-02,1006.8,1007.5,28.3,22.3,70,3,70,5.3,60,0,0,N/A,0,20,0,6
2010-09-04-03,1006,1006.7,28.3,22.4,70,3.2,60,5.7,60,0,0,N/A,0,N/A,0,N/A
2010-09-04-04,1005.6,1006.3,27.9,22.7,73,2.8,60,6.8,70,0,0,N/A,0,N/A,0,N/A
2010-09-04-05,1005.8,1006.5,27.8,23,75,3.7,60,6.7,70,0,0,N/A,0,20,0,2
2010-09-04-06,1006.3,1007,27.6,23.1,77,3.3,70,7.7,80,0,0,0,0,N/A,0,N/A
2010-09-04-07,1006.9,1007.6,28.1,23.5,76,3.6,70,7.1,70,0,0,0.3,0.1,N/A,0,N/A
2010-09-04-08,1007.3,1008,29.7,24.5,74,2.9,80,7.6,60,0,0,0.7,0.92,13,1,7
2010-09-04-09,1007.4,1008.1,31.3,25.5,71,3.2,70,6.3,60,0,0,0.8,1.5,15,3,8
2010-09-04-10,1007.2,1007.9,31.7,25.1,68,3.8,60,8.3,50,0,0,1,2.26,N/A,6,6
2010-09-04-11,1007.1,1007.8,31.3,24,65,3.9,50,11.2,80,0,0,0.9,2.65,18,9,8
2010-09-04-12,1006.3,1007,33,24.8,62,2.9,50,8.3,80,0,0,0.6,2.28,N/A,8,8
2010-09-04-13,1005.4,1006.1,32.8,22.9,56,4.8,60,9.6,50,0,0,1,2.9,N/A,10,7
2010-09-04-14,1004.5,1005.2,33.2,23.4,57,3.4,60,10.1,50,0,0,1,2.51,20,8,7
2010-09-04-15,1004.2,1004.9,32.9,23.4,58,4.2,70,10.6,90,0,0,1,2.12,N/A,6,6
2010-09-04-16,1004.7,1005.4,32.1,23.4,60,4.6,60,10.4,50,0,0,1,1.57,N/A,3,6
2010-09-04-17,1005.2,1005.9,30.8,22.3,61,4.9,60,8.3,90,0,0,0.6,0.77,18,1,8
2010-09-04-18,1005.9,1006.6,30.1,22.7,65,3.9,70,7.8,70,0,0,0.2,0.1,N/A,0,N/A
2010-09-04-19,1006.2,1006.9,29.8,22.7,66,2.1,100,5.8,80,0,0,0,0,N/A,0,N/A
2010-09-04-20,1007.2,1007.9,29.6,23.2,69,1.2,140,4.6,100,0,0,N/A,0,15,0,6
